"Points:0","Points:1","Points:2","U:0","U:1","U:2"
0.22,0.20894,0.1492,8.1306,0.0168,0.017952
0.22,0.23909,0.14935,8.1135,0.018216,0.013334
0.22,0.20794,0.11838,8.1398,0.025034,0.013901
0.22,0.20808,0.089997,8.1407,0.02699,0.0058653
0.22,0.17911,0.074527,8.1671,0.046005,-0.011857
0.22,0.17847,0.089218,8.155,0.03286,0.011204
0.22,0.16,0.040978,8.188,0.031336,-0.081067
0.22,0.16532,0.060084,8.1814,0.061424,-0.044602
0.22,0.15085,0.030192,8.2157,-0.024207,-0.14896
0.22,0.44967,-0.059922,8.0618,0.0095188,-0.0023982
0.22,0.47974,-0.089903,8.0565,0.0074999,-0.0029036
0.22,0.50981,-0.11989,8.0523,0.0054597,-0.0033086
0.22,0.50981,-0.14987,8.051,0.0052152,-0.0038529
0.22,-0.059725,-0.23932,8.1359,0.0015532,0.0044256
0.22,-0.059756,-0.26934,8.1168,-0.0032703,-0.0056194
0.22,-0.074543,-0.20961,8.1406,0.007273,0.0077801
0.22,-0.060434,-0.23832,8.1359,0.0018291,0.0045267
0.22,-0.088805,-0.23817,8.1307,0.0043835,0.00104
0.22,-0.060415,-0.20976,8.1424,0.0047666,0.010092
0.22,-0.059717,-0.20933,8.1428,0.0046649,0.010368
0.22,-0.059742,-0.19439,8.1575,0.012933,0.028883
0.22,-0.044839,-0.2094,8.1484,0.00055968,0.016047
0.22,-0.044869,-0.19438,8.1601,0.0068534,0.037376
0.22,-0.029895,-0.29942,8.1048,-0.0040116,-0.0094805
0.22,-0.029955,-0.17942,8.1715,0.0033982,0.064472
0.22,-0.015,-0.17983,8.1735,-0.01876,0.065861
0.22,6.5737e-06,-0.32946,8.0937,-0.0032388,-0.012508
0.22,0.029937,-0.3595,8.0832,-0.0010935,-0.014211
0.22,0.059892,-0.38955,8.0737,0.00093059,-0.01338
0.22,0.089868,-0.41961,8.0656,0.0023145,-0.011619
0.22,0.11986,-0.44968,8.0589,0.0031617,-0.0094848
